Código,Unidade,Sub unidade,Tipo,Nome,Descritivo
1240.00.100,Agrupamento,,Sede,Tampo cinzento 1,
1240.00.101,Agrupamento,,Sede,Tampo cinzento 2,
1240.00.102,Agrupamento,,Sede,Cavalete 1cm,
1240.00.103,Agrupamento,,Sede,Cavalete 2cm,
1240.00.104,Agrupamento,,Sede,Cavalete 1cm,
1240.00.105,Agrupamento,,Sede,Cavalete 2cm,Colado a 15/04/2017
1240.00.106,Agrupamento,,Sede,Cavalete 1cm,
1240.00.107,Agrupamento,,Sede,Cavalete 2cm,Colado a 15/04/2017
1240.00.108,Agrupamento,,Sede,Cavalete 1cm,
1240.00.109,Agrupamento,,Sede,Cavalete 2cm,Colado a 15/04/2017
1240.00.110,Agrupamento,,Sede,Cavalete 1cm,
1240.00.111,Agrupamento,,Sede,Cavalete 2cm,Colado a 15/04/2017
1240.00.112,Agrupamento,,Sede,Cavalete 1cm,
1240.00.113,Agrupamento,,Sede,Cavalete 2cm,Danificado: falta metáde de uma das tábuas inferiores
1240.00.114,Agrupamento,,Sede,Cavalete 1cm,Colado a 16/04/2017
1240.00.115,Agrupamento,,Sede,,
1240.00.116,Agrupamento,,Sede,Cavalete 1cm,
1240.00.117,Agrupamento,,Sede,,
1240.00.118,Agrupamento,,Sede,Cavalete 1cm,Colado a 16/04/2017
1240.00.119,Agrupamento,,Sede,,
1240.00.120,Agrupamento,,Sede,Cavalete 1cm,Colado a 15/04/2017
1240.00.121,Agrupamento,,Sede,,
1240.00.122,Agrupamento,,Sede,Cavalete 1cm,Colado a 15/04/2017
1240.00.123,Agrupamento,,Sede,,
1240.00.124,Agrupamento,,Sede,Cavalete 1cm,Colado a 15/04/2017
1240.00.125,Agrupamento,,Sede,,
1240.00.126,Agrupamento,,Sede,Cavalete 1cm,Danificado: falta uma das tábuas inferiores
1240.00.127,Agrupamento,,Sede,,
1240.00.128,Agrupamento,,Sede,,
1240.00.129,Agrupamento,,Sede,,
1240.00.130,Agrupamento,,Sede,,
1240.00.131,Agrupamento,,Sede,,
1240.00.132,Agrupamento,,Sede,,
1240.00.133,Agrupamento,,Sede,,
1240.00.134,Agrupamento,,Sede,,
1240.00.135,Agrupamento,,Sede,,
1240.00.136,Agrupamento,,Sede,,
1240.00.137,Agrupamento,,Sede,,
1240.00.138,Agrupamento,,Sede,,
1240.00.139,Agrupamento,,Sede,,
1240.00.140,Agrupamento,,Sede,,
1240.00.141,Agrupamento,,Sede,,
1240.00.142,Agrupamento,,Sede,,
1240.00.143,Agrupamento,,Sede,,
1240.00.144,Agrupamento,,Sede,,
1240.00.145,Agrupamento,,Sede,,
1240.00.146,Agrupamento,,Sede,,
1240.00.147,Agrupamento,,Sede,,
1240.00.148,Agrupamento,,Sede,,
1240.00.149,Agrupamento,,Sede,,
1240.00.150,Agrupamento,,Sede,,
1240.00.151,Agrupamento,,Sede,,
1240.00.152,Agrupamento,,Sede,,
1240.00.153,Agrupamento,,Sede,,
1240.00.154,Agrupamento,,Sede,,
1240.00.155,Agrupamento,,Sede,,
1240.00.156,Agrupamento,,Sede,,
1240.00.157,Agrupamento,,Sede,,
1240.00.158,Agrupamento,,Sede,,
1240.00.159,Agrupamento,,Sede,,
1240.00.160,Agrupamento,,Sede,,
1240.00.161,Agrupamento,,Sede,,
1240.00.162,Agrupamento,,Sede,,
1240.00.163,Agrupamento,,Sede,,
1240.00.164,Agrupamento,,Sede,,
1240.00.165,Agrupamento,,Sede,,
1240.00.166,Agrupamento,,Sede,,
1240.00.167,Agrupamento,,Sede,,
1240.00.168,Agrupamento,,Sede,,
1240.00.169,Agrupamento,,Sede,,
1240.00.170,Agrupamento,,Sede,,
1240.00.171,Agrupamento,,Sede,,
1240.00.172,Agrupamento,,Sede,,
1240.00.173,Agrupamento,,Sede,,
1240.00.174,Agrupamento,,Sede,,
1240.00.175,Agrupamento,,Sede,,
1240.00.176,Agrupamento,,Sede,,
1240.00.177,Agrupamento,,Sede,,
1240.00.178,Agrupamento,,Sede,,
1240.00.179,Agrupamento,,Sede,,
1240.00.180,Agrupamento,,Sede,,
1240.00.181,Agrupamento,,Sede,,
1240.00.182,Agrupamento,,Sede,,
1240.00.183,Agrupamento,,Sede,,
1240.00.184,Agrupamento,,Sede,,
1240.00.185,Agrupamento,,Sede,,
1240.00.186,Agrupamento,,Sede,,
1240.00.187,Agrupamento,,Sede,,
1240.00.188,Agrupamento,,Sede,,
1240.00.189,Agrupamento,,Sede,,
1240.00.190,Agrupamento,,Sede,,
1240.00.191,Agrupamento,,Sede,,
1240.00.192,Agrupamento,,Sede,,
1240.00.193,Agrupamento,,Sede,,
1240.00.194,Agrupamento,,Sede,,
1240.00.195,Agrupamento,,Sede,,
1240.00.196,Agrupamento,,Sede,,
1240.00.197,Agrupamento,,Sede,,
1240.00.198,Agrupamento,,Sede,,
1240.00.199,Agrupamento,,Sede,,
1240.00.200,Agrupamento,,Abrigo,Quechua Base Verde,
