Código,Unidade,Sub unidade,Tipo,Nome,Descritivo
1240.10.100,Clã,Secção,Sede,,
1240.10.101,Clã,Secção,Sede,,
1240.10.102,Clã,Secção,Sede,,
1240.10.103,Clã,Secção,Sede,,
1240.10.104,Clã,Secção,Sede,,
1240.10.105,Clã,Secção,Sede,,
1240.10.106,Clã,Secção,Sede,,
1240.10.107,Clã,Secção,Sede,,
1240.10.108,Clã,Secção,Sede,,
1240.10.109,Clã,Secção,Sede,,
1240.10.110,Clã,Secção,Sede,,
1240.10.111,Clã,Secção,Sede,,
1240.10.112,Clã,Secção,Sede,,
1240.10.113,Clã,Secção,Sede,,
1240.10.114,Clã,Secção,Sede,,
1240.10.115,Clã,Secção,Sede,,
1240.10.116,Clã,Secção,Sede,,
1240.10.117,Clã,Secção,Sede,,
1240.10.118,Clã,Secção,Sede,,
1240.10.119,Clã,Secção,Sede,,
1240.10.120,Clã,Secção,Sede,,
1240.10.121,Clã,Secção,Sede,,
1240.10.122,Clã,Secção,Sede,,
1240.10.123,Clã,Secção,Sede,,
1240.10.124,Clã,Secção,Sede,,
1240.10.125,Clã,Secção,Sede,,
1240.10.126,Clã,Secção,Sede,,
1240.10.127,Clã,Secção,Sede,,
1240.10.128,Clã,Secção,Sede,,
1240.10.129,Clã,Secção,Sede,,
1240.10.130,Clã,Secção,Sede,,
1240.10.131,Clã,Secção,Sede,,
1240.10.132,Clã,Secção,Sede,,
1240.10.133,Clã,Secção,Sede,,
1240.10.134,Clã,Secção,Sede,,
1240.10.135,Clã,Secção,Sede,,
1240.10.136,Clã,Secção,Sede,,
1240.10.137,Clã,Secção,Sede,,
1240.10.138,Clã,Secção,Sede,,
1240.10.139,Clã,Secção,Sede,,
1240.10.140,Clã,Secção,Sede,,
1240.10.141,Clã,Secção,Sede,,
1240.10.142,Clã,Secção,Sede,,
1240.10.143,Clã,Secção,Sede,,
1240.10.144,Clã,Secção,Sede,,
1240.10.145,Clã,Secção,Sede,,
1240.10.146,Clã,Secção,Sede,,
1240.10.147,Clã,Secção,Sede,,
1240.10.148,Clã,Secção,Sede,,
1240.10.149,Clã,Secção,Sede,,
1240.10.150,Clã,Secção,Sede,,
1240.10.151,Clã,Secção,Sede,,
1240.10.152,Clã,Secção,Sede,,
1240.10.153,Clã,Secção,Sede,,
1240.10.154,Clã,Secção,Sede,,
1240.10.155,Clã,Secção,Sede,,
1240.10.156,Clã,Secção,Sede,,
1240.10.157,Clã,Secção,Sede,,
1240.10.158,Clã,Secção,Sede,,
1240.10.159,Clã,Secção,Sede,,
1240.10.160,Clã,Secção,Sede,,
1240.10.161,Clã,Secção,Sede,,
1240.10.162,Clã,Secção,Sede,,
1240.10.163,Clã,Secção,Sede,,
1240.10.164,Clã,Secção,Sede,,
1240.10.165,Clã,Secção,Sede,,
1240.10.166,Clã,Secção,Sede,,
1240.10.167,Clã,Secção,Sede,,
1240.10.168,Clã,Secção,Sede,,
1240.10.169,Clã,Secção,Sede,,
1240.10.170,Clã,Secção,Sede,,
1240.10.171,Clã,Secção,Sede,,
1240.10.172,Clã,Secção,Sede,,
1240.10.173,Clã,Secção,Sede,,
1240.10.174,Clã,Secção,Sede,,
1240.10.175,Clã,Secção,Sede,,
1240.10.176,Clã,Secção,Sede,,
1240.10.177,Clã,Secção,Sede,,
1240.10.178,Clã,Secção,Sede,,
1240.10.179,Clã,Secção,Sede,,
1240.10.180,Clã,Secção,Sede,,
1240.10.181,Clã,Secção,Sede,,
1240.10.182,Clã,Secção,Sede,,
1240.10.183,Clã,Secção,Sede,,
1240.10.184,Clã,Secção,Sede,,
1240.10.185,Clã,Secção,Sede,,
1240.10.186,Clã,Secção,Sede,,
1240.10.187,Clã,Secção,Sede,,
1240.10.188,Clã,Secção,Sede,,
1240.10.189,Clã,Secção,Sede,,
1240.10.190,Clã,Secção,Sede,,
1240.10.191,Clã,Secção,Sede,,
1240.10.192,Clã,Secção,Sede,,
1240.10.193,Clã,Secção,Sede,,
1240.10.194,Clã,Secção,Sede,,
1240.10.195,Clã,Secção,Sede,,
1240.10.196,Clã,Secção,Sede,,
1240.10.197,Clã,Secção,Sede,,
1240.10.198,Clã,Secção,Sede,,
1240.10.199,Clã,Secção,Sede,,
1240.10.200,Clã,Secção,Abrigo,,
1240.10.201,Clã,Secção,Abrigo,,
1240.10.202,Clã,Secção,Abrigo,,
1240.10.203,Clã,Secção,Abrigo,,
1240.10.204,Clã,Secção,Abrigo,,
1240.10.205,Clã,Secção,Abrigo,,
1240.10.206,Clã,Secção,Abrigo,,
1240.10.207,Clã,Secção,Abrigo,,
1240.10.208,Clã,Secção,Abrigo,,
1240.10.209,Clã,Secção,Abrigo,,
1240.10.210,Clã,Secção,Abrigo,,
1240.10.211,Clã,Secção,Abrigo,,
1240.10.212,Clã,Secção,Abrigo,,
1240.10.213,Clã,Secção,Abrigo,,
1240.10.214,Clã,Secção,Abrigo,,
1240.10.215,Clã,Secção,Abrigo,,
1240.10.216,Clã,Secção,Abrigo,,
1240.10.217,Clã,Secção,Abrigo,,
1240.10.218,Clã,Secção,Abrigo,,
1240.10.219,Clã,Secção,Abrigo,,
1240.10.220,Clã,Secção,Abrigo,,
1240.10.221,Clã,Secção,Abrigo,,
1240.10.222,Clã,Secção,Abrigo,,
1240.10.223,Clã,Secção,Abrigo,,
1240.10.224,Clã,Secção,Abrigo,,
1240.10.225,Clã,Secção,Abrigo,,
1240.10.226,Clã,Secção,Abrigo,,
1240.10.227,Clã,Secção,Abrigo,,
1240.10.228,Clã,Secção,Abrigo,,
1240.10.229,Clã,Secção,Abrigo,,
1240.10.230,Clã,Secção,Abrigo,,
1240.10.231,Clã,Secção,Abrigo,,
1240.10.232,Clã,Secção,Abrigo,,
1240.10.233,Clã,Secção,Abrigo,,
1240.10.234,Clã,Secção,Abrigo,,
1240.10.235,Clã,Secção,Abrigo,,
1240.10.236,Clã,Secção,Abrigo,,
1240.10.237,Clã,Secção,Abrigo,,
1240.10.238,Clã,Secção,Abrigo,,
1240.10.239,Clã,Secção,Abrigo,,
1240.10.240,Clã,Secção,Abrigo,,
1240.10.241,Clã,Secção,Abrigo,,
1240.10.242,Clã,Secção,Abrigo,,
1240.10.243,Clã,Secção,Abrigo,,
1240.10.244,Clã,Secção,Abrigo,,
1240.10.245,Clã,Secção,Abrigo,,
1240.10.246,Clã,Secção,Abrigo,,
1240.10.247,Clã,Secção,Abrigo,,
1240.10.248,Clã,Secção,Abrigo,,
1240.10.249,Clã,Secção,Abrigo,,
1240.10.250,Clã,Secção,Abrigo,,
1240.10.251,Clã,Secção,Abrigo,,
1240.10.252,Clã,Secção,Abrigo,,
1240.10.253,Clã,Secção,Abrigo,,
1240.10.254,Clã,Secção,Abrigo,,
1240.10.255,Clã,Secção,Abrigo,,
1240.10.256,Clã,Secção,Abrigo,,
1240.10.257,Clã,Secção,Abrigo,,
1240.10.258,Clã,Secção,Abrigo,,
1240.10.259,Clã,Secção,Abrigo,,
1240.10.260,Clã,Secção,Abrigo,,
1240.10.261,Clã,Secção,Abrigo,,
1240.10.262,Clã,Secção,Abrigo,,
1240.10.263,Clã,Secção,Abrigo,,
1240.10.264,Clã,Secção,Abrigo,,
1240.10.265,Clã,Secção,Abrigo,,
1240.10.266,Clã,Secção,Abrigo,,
