Código,Unidade,Sub unidade,Tipo,Nome,Descritivo,
1240.20.100,Expedição,Secção,Sede,,,
1240.20.101,Expedição,Secção,Sede,,,
1240.20.102,Expedição,Secção,Sede,,,
1240.20.103,Expedição,Secção,Sede,,,
1240.20.104,Expedição,Secção,Sede,,,
1240.20.105,Expedição,Secção,Sede,,,
1240.20.106,Expedição,Secção,Sede,,,
1240.20.107,Expedição,Secção,Sede,,,
1240.20.108,Expedição,Secção,Sede,,,
1240.20.109,Expedição,Secção,Sede,,,
1240.20.110,Expedição,Secção,Sede,,,
1240.20.111,Expedição,Secção,Sede,,,
1240.20.112,Expedição,Secção,Sede,,,
1240.20.113,Expedição,Secção,Sede,,,
1240.20.114,Expedição,Secção,Sede,,,
1240.20.115,Expedição,Secção,Sede,,,
1240.20.116,Expedição,Secção,Sede,,,
1240.20.117,Expedição,Secção,Sede,,,
1240.20.118,Expedição,Secção,Sede,,,
1240.20.119,Expedição,Secção,Sede,,,
1240.20.120,Expedição,Secção,Sede,,,
1240.20.121,Expedição,Secção,Sede,,,
1240.20.122,Expedição,Secção,Sede,,,
1240.20.123,Expedição,Secção,Sede,,,
1240.20.124,Expedição,Secção,Sede,,,
1240.20.125,Expedição,Secção,Sede,,,
1240.20.126,Expedição,Secção,Sede,,,
1240.20.127,Expedição,Secção,Sede,,,
1240.20.128,Expedição,Secção,Sede,,,
1240.20.129,Expedição,Secção,Sede,,,
1240.20.130,Expedição,Secção,Sede,,,
1240.20.131,Expedição,Secção,Sede,,,
1240.20.132,Expedição,Secção,Sede,,,
1240.20.133,Expedição,Secção,Sede,,,
1240.20.134,Expedição,Secção,Sede,,,
1240.20.135,Expedição,Secção,Sede,,,
1240.20.136,Expedição,Secção,Sede,,,
1240.20.137,Expedição,Secção,Sede,,,
1240.20.138,Expedição,Secção,Sede,,,
1240.20.139,Expedição,Secção,Sede,,,
1240.20.140,Expedição,Secção,Sede,,,
1240.20.141,Expedição,Secção,Sede,,,
1240.20.142,Expedição,Secção,Sede,,,
1240.20.143,Expedição,Secção,Sede,,,
1240.20.144,Expedição,Secção,Sede,,,
1240.20.145,Expedição,Secção,Sede,,,
1240.20.146,Expedição,Secção,Sede,,,
1240.20.147,Expedição,Secção,Sede,,,
1240.20.148,Expedição,Secção,Sede,,,
1240.20.149,Expedição,Secção,Sede,,,
1240.20.150,Expedição,Secção,Sede,,,
1240.20.151,Expedição,Secção,Sede,,,
1240.20.152,Expedição,Secção,Sede,,,
1240.20.153,Expedição,Secção,Sede,,,
1240.20.154,Expedição,Secção,Sede,,,
1240.20.155,Expedição,Secção,Sede,,,
1240.20.156,Expedição,Secção,Sede,,,
1240.20.157,Expedição,Secção,Sede,,,
1240.20.158,Expedição,Secção,Sede,,,
1240.20.159,Expedição,Secção,Sede,,,
1240.20.160,Expedição,Secção,Sede,,,
1240.20.161,Expedição,Secção,Sede,,,
1240.20.162,Expedição,Secção,Sede,,,
1240.20.163,Expedição,Secção,Sede,,,
1240.20.164,Expedição,Secção,Sede,,,
1240.20.165,Expedição,Secção,Sede,,,
1240.20.166,Expedição,Secção,Sede,,,
1240.20.167,Expedição,Secção,Sede,,,
1240.20.168,Expedição,Secção,Sede,,,
1240.20.169,Expedição,Secção,Sede,,,
1240.20.170,Expedição,Secção,Sede,,,
1240.20.171,Expedição,Secção,Sede,,,
1240.20.172,Expedição,Secção,Sede,,,
1240.20.173,Expedição,Secção,Sede,,,
1240.20.174,Expedição,Secção,Sede,,,
1240.20.175,Expedição,Secção,Sede,,,
1240.20.176,Expedição,Secção,Sede,,,
1240.20.177,Expedição,Secção,Sede,,,
1240.20.178,Expedição,Secção,Sede,,,
1240.20.179,Expedição,Secção,Sede,,,
1240.20.180,Expedição,Secção,Sede,,,
1240.20.181,Expedição,Secção,Sede,,,
1240.20.182,Expedição,Secção,Sede,,,
1240.20.183,Expedição,Secção,Sede,,,
1240.20.184,Expedição,Secção,Sede,,,
1240.20.185,Expedição,Secção,Sede,,,
1240.20.186,Expedição,Secção,Sede,,,
1240.20.187,Expedição,Secção,Sede,,,
1240.20.188,Expedição,Secção,Sede,,,
1240.20.189,Expedição,Secção,Sede,,,
1240.20.190,Expedição,Secção,Sede,,,
1240.20.191,Expedição,Secção,Sede,,,
1240.20.192,Expedição,Secção,Sede,,,
1240.20.193,Expedição,Secção,Sede,,,
1240.20.194,Expedição,Secção,Sede,,,
1240.20.195,Expedição,Secção,Sede,,,
1240.20.196,Expedição,Secção,Sede,,,
1240.20.197,Expedição,Secção,Sede,,,
1240.20.198,Expedição,Secção,Sede,,,
1240.20.199,Expedição,Secção,Sede,,,
1240.20.200,Expedição,Secção,Abrigo,,,
1240.20.201,Expedição,Secção,Abrigo,,,
1240.20.202,Expedição,Secção,Abrigo,,,
1240.20.203,Expedição,Secção,Abrigo,,,
1240.20.204,Expedição,Secção,Abrigo,,,
1240.20.205,Expedição,Secção,Abrigo,,,
1240.20.206,Expedição,Secção,Abrigo,,,
1240.20.207,Expedição,Secção,Abrigo,,,
1240.20.208,Expedição,Secção,Abrigo,,,
1240.20.209,Expedição,Secção,Abrigo,,,
1240.20.210,Expedição,Secção,Abrigo,,,
1240.20.211,Expedição,Secção,Abrigo,,,
1240.20.212,Expedição,Secção,Abrigo,,,
1240.20.213,Expedição,Secção,Abrigo,,,
1240.20.214,Expedição,Secção,Abrigo,,,
1240.20.215,Expedição,Secção,Abrigo,,,
1240.20.216,Expedição,Secção,Abrigo,,,
1240.20.217,Expedição,Secção,Abrigo,,,
1240.20.218,Expedição,Secção,Abrigo,,,
1240.20.219,Expedição,Secção,Abrigo,,,
1240.20.220,Expedição,Secção,Abrigo,,,
1240.20.221,Expedição,Secção,Abrigo,,,
1240.20.222,Expedição,Secção,Abrigo,,,
1240.20.223,Expedição,Secção,Abrigo,,,
1240.20.224,Expedição,Secção,Abrigo,,,
1240.20.225,Expedição,Secção,Abrigo,,,
1240.20.226,Expedição,Secção,Abrigo,,,
1240.20.227,Expedição,Secção,Abrigo,,,
1240.20.228,Expedição,Secção,Abrigo,,,
1240.20.229,Expedição,Secção,Abrigo,,,
1240.20.230,Expedição,Secção,Abrigo,,,
1240.20.231,Expedição,Secção,Abrigo,,,
1240.20.232,Expedição,Secção,Abrigo,,,
1240.20.233,Expedição,Secção,Abrigo,,,
1240.20.234,Expedição,Secção,Abrigo,,,
1240.20.235,Expedição,Secção,Abrigo,,,
1240.20.236,Expedição,Secção,Abrigo,,,
1240.20.237,Expedição,Secção,Abrigo,,,
1240.20.238,Expedição,Secção,Abrigo,,,
1240.20.239,Expedição,Secção,Abrigo,,,
1240.20.240,Expedição,Secção,Abrigo,,,
1240.20.241,Expedição,Secção,Abrigo,,,
1240.20.242,Expedição,Secção,Abrigo,,,
1240.20.243,Expedição,Secção,Abrigo,,,
1240.20.244,Expedição,Secção,Abrigo,,,
1240.20.245,Expedição,Secção,Abrigo,,,
1240.20.246,Expedição,Secção,Abrigo,,,
1240.20.247,Expedição,Secção,Abrigo,,,
