Código,Unidade,Sub unidade,Tipo,Nome,Descritivo
1240.10.100,Alcateia,Secção,Sede,,
1240.10.101,Alcateia,Secção,Sede,,
1240.10.102,Alcateia,Secção,Sede,,
1240.10.103,Alcateia,Secção,Sede,,
1240.10.104,Alcateia,Secção,Sede,,
1240.10.105,Alcateia,Secção,Sede,,
1240.10.106,Alcateia,Secção,Sede,,
1240.10.107,Alcateia,Secção,Sede,,
1240.10.108,Alcateia,Secção,Sede,,
1240.10.109,Alcateia,Secção,Sede,,
1240.10.110,Alcateia,Secção,Sede,,
1240.10.111,Alcateia,Secção,Sede,,
1240.10.112,Alcateia,Secção,Sede,,
1240.10.113,Alcateia,Secção,Sede,,
1240.10.114,Alcateia,Secção,Sede,,
1240.10.115,Alcateia,Secção,Sede,,
1240.10.116,Alcateia,Secção,Sede,,
1240.10.117,Alcateia,Secção,Sede,,
1240.10.118,Alcateia,Secção,Sede,,
1240.10.119,Alcateia,Secção,Sede,,
1240.10.120,Alcateia,Secção,Sede,,
1240.10.121,Alcateia,Secção,Sede,,
1240.10.122,Alcateia,Secção,Sede,,
1240.10.123,Alcateia,Secção,Sede,,
1240.10.124,Alcateia,Secção,Sede,,
1240.10.125,Alcateia,Secção,Sede,,
1240.10.126,Alcateia,Secção,Sede,,
1240.10.127,Alcateia,Secção,Sede,,
1240.10.128,Alcateia,Secção,Sede,,
1240.10.129,Alcateia,Secção,Sede,,
1240.10.130,Alcateia,Secção,Sede,,
1240.10.131,Alcateia,Secção,Sede,,
1240.10.132,Alcateia,Secção,Sede,,
1240.10.133,Alcateia,Secção,Sede,,
1240.10.134,Alcateia,Secção,Sede,,
1240.10.135,Alcateia,Secção,Sede,,
1240.10.136,Alcateia,Secção,Sede,,
1240.10.137,Alcateia,Secção,Sede,,
1240.10.138,Alcateia,Secção,Sede,,
1240.10.139,Alcateia,Secção,Sede,,
1240.10.140,Alcateia,Secção,Sede,,
1240.10.141,Alcateia,Secção,Sede,,
1240.10.142,Alcateia,Secção,Sede,,
1240.10.143,Alcateia,Secção,Sede,,
1240.10.144,Alcateia,Secção,Sede,,
1240.10.145,Alcateia,Secção,Sede,,
1240.10.146,Alcateia,Secção,Sede,,
1240.10.147,Alcateia,Secção,Sede,,
1240.10.148,Alcateia,Secção,Sede,,
1240.10.149,Alcateia,Secção,Sede,,
1240.10.150,Alcateia,Secção,Sede,,
1240.10.151,Alcateia,Secção,Sede,,
1240.10.152,Alcateia,Secção,Sede,,
1240.10.153,Alcateia,Secção,Sede,,
1240.10.154,Alcateia,Secção,Sede,,
1240.10.155,Alcateia,Secção,Sede,,
1240.10.156,Alcateia,Secção,Sede,,
1240.10.157,Alcateia,Secção,Sede,,
1240.10.158,Alcateia,Secção,Sede,,
1240.10.159,Alcateia,Secção,Sede,,
1240.10.160,Alcateia,Secção,Sede,,
1240.10.161,Alcateia,Secção,Sede,,
1240.10.162,Alcateia,Secção,Sede,,
1240.10.163,Alcateia,Secção,Sede,,
1240.10.164,Alcateia,Secção,Sede,,
1240.10.165,Alcateia,Secção,Sede,,
1240.10.166,Alcateia,Secção,Sede,,
1240.10.167,Alcateia,Secção,Sede,,
1240.10.168,Alcateia,Secção,Sede,,
1240.10.169,Alcateia,Secção,Sede,,
1240.10.170,Alcateia,Secção,Sede,,
1240.10.171,Alcateia,Secção,Sede,,
1240.10.172,Alcateia,Secção,Sede,,
1240.10.173,Alcateia,Secção,Sede,,
1240.10.174,Alcateia,Secção,Sede,,
1240.10.175,Alcateia,Secção,Sede,,
1240.10.176,Alcateia,Secção,Sede,,
1240.10.177,Alcateia,Secção,Sede,,
1240.10.178,Alcateia,Secção,Sede,,
1240.10.179,Alcateia,Secção,Sede,,
1240.10.180,Alcateia,Secção,Sede,,
1240.10.181,Alcateia,Secção,Sede,,
1240.10.182,Alcateia,Secção,Sede,,
1240.10.183,Alcateia,Secção,Sede,,
1240.10.184,Alcateia,Secção,Sede,,
1240.10.185,Alcateia,Secção,Sede,,
1240.10.186,Alcateia,Secção,Sede,,
1240.10.187,Alcateia,Secção,Sede,,
1240.10.188,Alcateia,Secção,Sede,,
1240.10.189,Alcateia,Secção,Sede,,
1240.10.190,Alcateia,Secção,Sede,,
1240.10.191,Alcateia,Secção,Sede,,
1240.10.192,Alcateia,Secção,Sede,,
1240.10.193,Alcateia,Secção,Sede,,
1240.10.194,Alcateia,Secção,Sede,,
1240.10.195,Alcateia,Secção,Sede,,
1240.10.196,Alcateia,Secção,Sede,,
1240.10.197,Alcateia,Secção,Sede,,
1240.10.198,Alcateia,Secção,Sede,,
1240.10.199,Alcateia,Secção,Sede,,
1240.10.200,Alcateia,Secção,Abrigo,,
1240.10.201,Alcateia,Secção,Abrigo,,
1240.10.202,Alcateia,Secção,Abrigo,,
1240.10.203,Alcateia,Secção,Abrigo,,
1240.10.204,Alcateia,Secção,Abrigo,,
1240.10.205,Alcateia,Secção,Abrigo,,
1240.10.206,Alcateia,Secção,Abrigo,,
1240.10.207,Alcateia,Secção,Abrigo,,
1240.10.208,Alcateia,Secção,Abrigo,,
1240.10.209,Alcateia,Secção,Abrigo,,
1240.10.210,Alcateia,Secção,Abrigo,,
1240.10.211,Alcateia,Secção,Abrigo,,
1240.10.212,Alcateia,Secção,Abrigo,,
1240.10.213,Alcateia,Secção,Abrigo,,
1240.10.214,Alcateia,Secção,Abrigo,,
1240.10.215,Alcateia,Secção,Abrigo,,
1240.10.216,Alcateia,Secção,Abrigo,,
