Código,Unidade,Sub unidade,Tipo,Nome,Descritivo
1240.30.100,Comunidade,Secção,Sede,,
1240.30.101,Comunidade,Secção,Sede,,
1240.30.102,Comunidade,Secção,Sede,,
1240.30.103,Comunidade,Secção,Sede,,
1240.30.104,Comunidade,Secção,Sede,,
1240.30.105,Comunidade,Secção,Sede,,
1240.30.106,Comunidade,Secção,Sede,,
1240.30.107,Comunidade,Secção,Sede,,
1240.30.108,Comunidade,Secção,Sede,,
1240.30.109,Comunidade,Secção,Sede,,
1240.30.110,Comunidade,Secção,Sede,,
1240.30.111,Comunidade,Secção,Sede,,
1240.30.112,Comunidade,Secção,Sede,,
1240.30.113,Comunidade,Secção,Sede,,
1240.30.114,Comunidade,Secção,Sede,,
1240.30.115,Comunidade,Secção,Sede,,
1240.30.116,Comunidade,Secção,Sede,,
1240.30.117,Comunidade,Secção,Sede,,
1240.30.118,Comunidade,Secção,Sede,,
1240.30.119,Comunidade,Secção,Sede,,
1240.30.120,Comunidade,Secção,Sede,,
1240.30.121,Comunidade,Secção,Sede,,
1240.30.122,Comunidade,Secção,Sede,,
1240.30.123,Comunidade,Secção,Sede,,
1240.30.124,Comunidade,Secção,Sede,,
1240.30.125,Comunidade,Secção,Sede,,
1240.30.126,Comunidade,Secção,Sede,,
1240.30.127,Comunidade,Secção,Sede,,
1240.30.128,Comunidade,Secção,Sede,,
1240.30.129,Comunidade,Secção,Sede,,
1240.30.130,Comunidade,Secção,Sede,,
1240.30.131,Comunidade,Secção,Sede,,
1240.30.132,Comunidade,Secção,Sede,,
1240.30.133,Comunidade,Secção,Sede,,
1240.30.134,Comunidade,Secção,Sede,,
1240.30.135,Comunidade,Secção,Sede,,
1240.30.136,Comunidade,Secção,Sede,,
1240.30.137,Comunidade,Secção,Sede,,
1240.30.138,Comunidade,Secção,Sede,,
1240.30.139,Comunidade,Secção,Sede,,
1240.30.140,Comunidade,Secção,Sede,,
1240.30.141,Comunidade,Secção,Sede,,
1240.30.142,Comunidade,Secção,Sede,,
1240.30.143,Comunidade,Secção,Sede,,
1240.30.144,Comunidade,Secção,Sede,,
1240.30.145,Comunidade,Secção,Sede,,
1240.30.146,Comunidade,Secção,Sede,,
1240.30.147,Comunidade,Secção,Sede,,
1240.30.148,Comunidade,Secção,Sede,,
1240.30.149,Comunidade,Secção,Sede,,
1240.30.150,Comunidade,Secção,Sede,,
1240.30.151,Comunidade,Secção,Sede,,
1240.30.152,Comunidade,Secção,Sede,,
1240.30.153,Comunidade,Secção,Sede,,
1240.30.154,Comunidade,Secção,Sede,,
1240.30.155,Comunidade,Secção,Sede,,
1240.30.156,Comunidade,Secção,Sede,,
1240.30.157,Comunidade,Secção,Sede,,
1240.30.158,Comunidade,Secção,Sede,,
1240.30.159,Comunidade,Secção,Sede,,
1240.30.160,Comunidade,Secção,Sede,,
1240.30.161,Comunidade,Secção,Sede,,
1240.30.162,Comunidade,Secção,Sede,,
1240.30.163,Comunidade,Secção,Sede,,
1240.30.164,Comunidade,Secção,Sede,,
1240.30.165,Comunidade,Secção,Sede,,
1240.30.166,Comunidade,Secção,Sede,,
1240.30.167,Comunidade,Secção,Sede,,
1240.30.168,Comunidade,Secção,Sede,,
1240.30.169,Comunidade,Secção,Sede,,
1240.30.170,Comunidade,Secção,Sede,,
1240.30.171,Comunidade,Secção,Sede,,
1240.30.172,Comunidade,Secção,Sede,,
1240.30.173,Comunidade,Secção,Sede,,
1240.30.174,Comunidade,Secção,Sede,,
1240.30.175,Comunidade,Secção,Sede,,
1240.30.176,Comunidade,Secção,Sede,,
1240.30.177,Comunidade,Secção,Sede,,
1240.30.178,Comunidade,Secção,Sede,,
1240.30.179,Comunidade,Secção,Sede,,
1240.30.180,Comunidade,Secção,Sede,,
1240.30.181,Comunidade,Secção,Sede,,
1240.30.182,Comunidade,Secção,Sede,,
1240.30.183,Comunidade,Secção,Sede,,
1240.30.184,Comunidade,Secção,Sede,,
1240.30.185,Comunidade,Secção,Sede,,
1240.30.186,Comunidade,Secção,Sede,,
1240.30.187,Comunidade,Secção,Sede,,
1240.30.188,Comunidade,Secção,Sede,,
1240.30.189,Comunidade,Secção,Sede,,
1240.30.190,Comunidade,Secção,Sede,,
1240.30.191,Comunidade,Secção,Sede,,
1240.30.192,Comunidade,Secção,Sede,,
1240.30.193,Comunidade,Secção,Sede,,
1240.30.194,Comunidade,Secção,Sede,,
1240.30.195,Comunidade,Secção,Sede,,
1240.30.196,Comunidade,Secção,Sede,,
1240.30.197,Comunidade,Secção,Sede,,
1240.30.198,Comunidade,Secção,Sede,,
1240.30.199,Comunidade,Secção,Sede,,
1240.30.200,Comunidade,Secção,Abrigo,Tenda Iglo Quechua T3+,"Sacos tenda, prumos e estacas; Tenda; Duplo teto; 2 prumos base; 1 prumo porta"
1240.30.201,Comunidade,Secção,Abrigo,Tenda Canadiana 2p 1 porta,"Sacos tenda, prumos e estacas; Tenda; Duplo teto; 2x2 prumos base; 1x4 prumo superior"
1240.30.202,Comunidade,Secção,Abrigo,Tarp c/ prumos,"Sacos tenda, prumos e estacas; Tenda; Duplo teto; 2x2 prumos base; 1x4 prumo superior"
1240.30.203,Comunidade,Secção,Abrigo,Tarp c/ prumos,Saco tenda; Duplo teto; 2x2 prumos base; 1x4 prumo superior;
1240.30.204,Comunidade,Secção,Abrigo,Duplo teto roxo,
1240.30.205,Comunidade,Secção,Abrigo,"Oleado 2x1,5m",
1240.30.206,Comunidade,Secção,Abrigo,"Oleado 2x1,5m",
1240.30.207,Comunidade,Secção,Abrigo,,
1240.30.208,Comunidade,Secção,Abrigo,,
1240.30.209,Comunidade,Secção,Abrigo,,
1240.30.210,Comunidade,Secção,Abrigo,,
1240.30.211,Comunidade,Secção,Abrigo,,
1240.30.212,Comunidade,Secção,Abrigo,,
1240.30.213,Comunidade,Secção,Abrigo,,
1240.30.214,Comunidade,Secção,Abrigo,,
1240.30.215,Comunidade,Secção,Abrigo,,
1240.30.216,Comunidade,Secção,Abrigo,,
1240.30.217,Comunidade,Secção,Abrigo,,
1240.30.218,Comunidade,Secção,Abrigo,,
1240.30.219,Comunidade,Secção,Abrigo,,
1240.30.220,Comunidade,Secção,Abrigo,,
1240.30.221,Comunidade,Secção,Abrigo,,
1240.30.222,Comunidade,Secção,Abrigo,,
1240.30.223,Comunidade,Secção,Abrigo,,
1240.30.224,Comunidade,Secção,Abrigo,,
